Graph,Number of Nodes,Edge Percentage,Number of Edges,k,kn,Iterations,Iterations Percentage,Repetitions,Total Time,Average Repetition Time,Success Count,Success Probability,Success,Min Success Iteration,Max Success Iteration,Average Success Iteration,Average Iterations,Average Operations Count,Vertices
graph_4_0.125.gml,4,0.125,0,0.125,0,1,0.001,10,0.0,0.0,1,1.0,True,0.0,0.0,0.0,0.0,0.0,[]
graph_4_0.125.gml,4,0.125,0,0.125,0,1,0.0025,10,0.0,0.0,1,1.0,True,0.0,0.0,0.0,0.0,0.0,[]
graph_4_0.125.gml,4,0.125,0,0.125,0,1,0.005,10,0.0,0.0,1,1.0,True,0.0,0.0,0.0,0.0,0.0,[]
graph_4_0.125.gml,4,0.125,0,0.125,0,1,0.0075,10,0.0,0.0,1,1.0,True,0.0,0.0,0.0,0.0,0.0,[]
graph_4_0.125.gml,4,0.125,0,0.125,0,1,0.01,10,0.0,0.0,1,1.0,True,0.0,0.0,0.0,0.0,0.0,[]
graph_4_0.125.gml,4,0.125,0,0.125,0,1,0.025,10,0.0,0.0,1,1.0,True,0.0,0.0,0.0,0.0,0.0,[]
graph_4_0.125.gml,4,0.125,0,0.125,0,1,0.05,10,0.0,0.0,1,1.0,True,0.0,0.0,0.0,0.0,0.0,[]
graph_4_0.125.gml,4,0.125,0,0.125,0,1,0.075,10,0.0,0.0,1,1.0,True,0.0,0.0,0.0,0.0,0.0,[]
graph_4_0.125.gml,4,0.125,0,0.125,0,1,0.1,10,0.0,0.0,1,1.0,True,0.0,0.0,0.0,0.0,0.0,[]
graph_4_0.125.gml,4,0.125,0,0.25,1,1,0.001,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,5.0,"[(99, 95)]"
graph_4_0.125.gml,4,0.125,0,0.25,1,1,0.0025,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,5.0,"[(99, 95)]"
graph_4_0.125.gml,4,0.125,0,0.25,1,1,0.005,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,5.0,"[(99, 95)]"
graph_4_0.125.gml,4,0.125,0,0.25,1,1,0.0075,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,5.0,"[(99, 95)]"
graph_4_0.125.gml,4,0.125,0,0.25,1,1,0.01,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,5.0,"[(99, 95)]"
graph_4_0.125.gml,4,0.125,0,0.25,1,1,0.025,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,5.0,"[(99, 95)]"
graph_4_0.125.gml,4,0.125,0,0.25,1,1,0.05,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,5.0,"[(99, 95)]"
graph_4_0.125.gml,4,0.125,0,0.25,1,1,0.075,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,5.0,"[(99, 95)]"
graph_4_0.125.gml,4,0.125,0,0.25,1,1,0.1,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,5.0,"[(99, 95)]"
graph_4_0.125.gml,4,0.125,0,0.5,2,1,0.001,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,6.0,"[(30, 2), (99, 95)]"
graph_4_0.125.gml,4,0.125,0,0.5,2,1,0.0025,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,6.0,"[(30, 2), (99, 95)]"
graph_4_0.125.gml,4,0.125,0,0.5,2,1,0.005,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,6.0,"[(30, 2), (99, 95)]"
graph_4_0.125.gml,4,0.125,0,0.5,2,1,0.0075,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,6.0,"[(30, 2), (99, 95)]"
graph_4_0.125.gml,4,0.125,0,0.5,2,1,0.01,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,6.0,"[(30, 2), (99, 95)]"
graph_4_0.125.gml,4,0.125,0,0.5,2,1,0.025,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,6.0,"[(30, 2), (99, 95)]"
graph_4_0.125.gml,4,0.125,0,0.5,2,1,0.05,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,6.0,"[(30, 2), (99, 95)]"
graph_4_0.125.gml,4,0.125,0,0.5,2,1,0.075,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,6.0,"[(30, 2), (99, 95)]"
graph_4_0.125.gml,4,0.125,0,0.5,2,1,0.1,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,6.0,"[(30, 2), (99, 95)]"
graph_4_0.125.gml,4,0.125,0,0.75,3,1,0.001,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,8.0,"[(11, 68), (30, 2), (100, 6)]"
graph_4_0.125.gml,4,0.125,0,0.75,3,1,0.0025,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,8.0,"[(11, 68), (30, 2), (100, 6)]"
graph_4_0.125.gml,4,0.125,0,0.75,3,1,0.005,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,8.0,"[(11, 68), (30, 2), (100, 6)]"
graph_4_0.125.gml,4,0.125,0,0.75,3,1,0.0075,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,8.0,"[(11, 68), (30, 2), (100, 6)]"
graph_4_0.125.gml,4,0.125,0,0.75,3,1,0.01,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,8.0,"[(11, 68), (30, 2), (100, 6)]"
graph_4_0.125.gml,4,0.125,0,0.75,3,1,0.025,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,8.0,"[(11, 68), (30, 2), (100, 6)]"
graph_4_0.125.gml,4,0.125,0,0.75,3,1,0.05,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,8.0,"[(11, 68), (30, 2), (100, 6)]"
graph_4_0.125.gml,4,0.125,0,0.75,3,1,0.075,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,8.0,"[(11, 68), (30, 2), (100, 6)]"
graph_4_0.125.gml,4,0.125,0,0.75,3,1,0.1,10,0.0,0.0,10,1.0,True,1.0,1.0,1.0,1.0,8.0,"[(11, 68), (30, 2), (100, 6)]"
graph_4_0.25.gml,4,0.25,1,0.125,0,1,0.001,10,0.0,0.0,1,1.0,True,0.0,0.0,0.0,0.0,0.0,[]
graph_4_0.25.gml,4,0.25,1,0.125,0,1,0.0025,10,0.0,0.0,1,1.0,True,0.0,0.0,0.0,0.0,0.0,[]
graph_4_0.25.gml,4,0.25,1,0.125,0,1,0.005,10,0.0,0.0,1,1.0,True,0.0,0.0,0.0,0.0,0.0,[]
