Graph,Number of Nodes,Edge Percentage,Number of Edges,k,kn,Iterations,Repetitions,Total Time,Average Repetition Time,Success Count,Success Probability,Success,Min Success Iteration,Max Success Iteration,Average Success Iteration,Average Iterations,Vertices
graph_130680065853,13,16.666666666666664,13,0.125,1,50,10,0.0007399000023724511,7.399000023724511e-05,10,1.0,True,1.0,1.0,1.0,1.0,[8]
graph_130680065853,13,16.666666666666664,13,0.125,1,100,10,0.0007435999868903309,7.43599986890331e-05,10,1.0,True,1.0,1.0,1.0,1.0,[8]
graph_130680065853,13,16.666666666666664,13,0.125,1,500,10,0.0007466999959433451,7.466999959433451e-05,10,1.0,True,1.0,1.0,1.0,1.0,[8]
graph_130680065853,13,16.666666666666664,13,0.125,1,1000,10,0.0007491999858757481,7.49199985875748e-05,10,1.0,True,1.0,1.0,1.0,1.0,[8]
graph_130680065853,13,16.666666666666664,13,0.125,1,2500,10,0.000751899991882965,7.51899991882965e-05,10,1.0,True,1.0,1.0,1.0,1.0,[8]
graph_130680065853,13,16.666666666666664,13,0.125,1,5000,10,0.00075559999095276,7.555999909527599e-05,10,1.0,True,1.0,1.0,1.0,1.0,[8]
graph_130680065853,13,16.666666666666664,13,0.125,1,7500,10,0.0007582999969599769,7.582999969599769e-05,10,1.0,True,1.0,1.0,1.0,1.0,[8]
graph_130680065853,13,16.666666666666664,13,0.125,1,10000,10,0.0007655999943381175,7.655999943381175e-05,10,1.0,True,1.0,1.0,1.0,1.0,[8]
graph_130680065853,13,16.666666666666664,13,0.25,3,50,10,0.0013113999884808436,0.00013113999884808435,10,1.0,True,1.0,5.0,2.0,2.0,"[0, 11, 8]"
graph_130680065853,13,16.666666666666664,13,0.25,3,100,10,0.0013153999898349866,0.00013153999898349867,10,1.0,True,1.0,5.0,2.0,2.0,"[0, 11, 8]"
graph_130680065853,13,16.666666666666664,13,0.25,3,500,10,0.0013206999865360558,0.00013206999865360557,10,1.0,True,1.0,5.0,2.0,2.0,"[0, 11, 8]"
graph_130680065853,13,16.666666666666664,13,0.25,3,1000,10,0.0013233999925432727,0.00013233999925432727,10,1.0,True,1.0,5.0,2.0,2.0,"[0, 11, 8]"
graph_130680065853,13,16.666666666666664,13,0.25,3,2500,10,0.0013257999962661415,0.00013257999962661414,10,1.0,True,1.0,5.0,2.0,2.0,"[0, 11, 8]"
graph_130680065853,13,16.666666666666664,13,0.25,3,5000,10,0.00132819997088518,0.00013281999708851798,10,1.0,True,1.0,5.0,2.0,2.0,"[0, 11, 8]"
graph_130680065853,13,16.666666666666664,13,0.25,3,7500,10,0.0013304999592946842,0.00013304999592946842,10,1.0,True,1.0,5.0,2.0,2.0,"[0, 11, 8]"
graph_130680065853,13,16.666666666666664,13,0.25,3,10000,10,0.001333999985945411,0.0001333999985945411,10,1.0,True,1.0,5.0,2.0,2.0,"[0, 11, 8]"
graph_130680065853,13,16.666666666666664,13,0.5,6,50,10,0.015139599971007556,0.0015139599971007555,7,0.7,True,4.0,28.0,15.571428571428571,25.9,"[6, 10, 2, 8, 1, 12]"
graph_130680065853,13,16.666666666666664,13,0.5,6,100,10,0.019627100002253428,0.0019627100002253426,9,0.9,True,4.0,68.0,25.666666666666668,33.1,"[6, 10, 2, 8, 1, 12]"
graph_130680065853,13,16.666666666666664,13,0.5,6,500,10,0.021282699977746233,0.0021282699977746232,10,1.0,True,4.0,126.0,35.7,35.7,"[6, 10, 2, 8, 1, 12]"
graph_130680065853,13,16.666666666666664,13,0.5,6,1000,10,0.021285499969962984,0.0021285499969962984,10,1.0,True,4.0,126.0,35.7,35.7,"[6, 10, 2, 8, 1, 12]"
graph_130680065853,13,16.666666666666664,13,0.5,6,2500,10,0.021287899959133938,0.0021287899959133937,10,1.0,True,4.0,126.0,35.7,35.7,"[6, 10, 2, 8, 1, 12]"
graph_130680065853,13,16.666666666666664,13,0.5,6,5000,10,0.02129059997969307,0.002129059997969307,10,1.0,True,4.0,126.0,35.7,35.7,"[6, 10, 2, 8, 1, 12]"
graph_130680065853,13,16.666666666666664,13,0.5,6,7500,10,0.021293099984177388,0.002129309998417739,10,1.0,True,4.0,126.0,35.7,35.7,"[6, 10, 2, 8, 1, 12]"
graph_130680065853,13,16.666666666666664,13,0.5,6,10000,10,0.021295999991707504,0.0021295999991707503,10,1.0,True,4.0,126.0,35.7,35.7,"[6, 10, 2, 8, 1, 12]"
graph_130680065853,13,16.666666666666664,13,0.75,9,50,10,0.03482709998206701,0.003482709998206701,0,0.0,False,,,,50.0,
graph_130680065853,13,16.666666666666664,13,0.75,9,100,10,0.06953129998873919,0.006953129998873919,0,0.0,False,,,,100.0,
graph_130680065853,13,16.666666666666664,13,0.75,9,500,10,0.5295584999694256,0.05295584999694256,0,0.0,False,,,,500.0,
graph_130680065853,13,16.666666666666664,13,0.75,9,1000,10,2.2266116999962833,0.2783264624995354,0,0.0,False,,,,1000.0,
graph_130680065853,13,16.666666666666664,13,0.75,9,2500,10,0.0,0.0,0,0.0,False,,,,2500.0,
graph_130680065853,13,16.666666666666664,13,0.75,9,5000,10,0.0,0.0,0,0.0,False,,,,5000.0,
